year,group/commodity,production
2002,tapioca,4698211
2002,banana,6371622
2002,coconut,7150889367
2002,onion,3245248
2002,peas  (vegetable),0
2002,guar seed,106981
2002,carrot,2085
2002,pome granet,0
2002,castor seed,432764.01
2002,moth,40522
2002,other oilseeds,18204.31
2002,jack fruit,32983
2002,pear,0
2002,bitter gourd,80
2002,small millets,383283.6
2002,plums,0
2002,sesamum,426879.9
2002,safflower,181432.04
2002,sunflower,846430.04
2002,atcanut (raw),927250
2002,niger seed,85314.04
2002,linseed,168815.21
2002,other fibres,0
2002,ragi,1306673.8
2002,peach,0
2002,other citrus fruit,0
2002,korra,11619
2002,litchi,0
2002,moong(green gram),869564.7
2002,khesari,311331
2002,papaya,1006439
2002,pump kin,0
2002,other vegetables,437509
2002,black pepper,90660
2002,other fresh fruits,148029
2002,ash gourd,0
2002,other  rabi pulses,433798
2002,cauliflower,8775
2002,cashewnut,128810
2002,soyabean,4585311
2002,cabbage,143193
2002,apple,0
2003,bajra,7.71
2003,cereals,194.36
2003,coffee,0.3
2003,cotton,14.19
2003,foodgrains,206.51
2003,gram,4.44
2003,groundnut,7.2
2003,jowar,7.61
2003,jute,9.56
2003,jute and mesta,10.7
2003,kharif,6.29
2003,maize,14
2003,mesta,1.14
2003,oilseeds,21.66
2003,plantation crops,0.5
2003,potato,24.21
2003,pulses,12.09
2003,rabi,99.01
2003,rapeseed and mustard,4.66
2003,rice,88.34
2003,rubber,0.66
2003,sugarcane,310.91
2003,tea,0.86
2003,tur,2.46
2003,wheat,72.24
2003,beans & mutter(vegetable),126622
2003,turmeric,525885
2003,cucumber,0
2003,turnip,218
2003,sweet potato,610225
2003,coriander,383956.01
2003,garlic,516978
2003,arhar/tur,2325382.12
2003,rapeseed &mustard,5963477.47
2003,ribed guard,0
2003,pome fruit,268428
2003,water melon,0
2003,jute & mesta,22018
2003,dry ginger,331064.6
2003,orange,793030
2003,bhindi,164053
2003,beet root,0
2003,tomato,1363827
2003,grapes,1363200
2003,ber,0
2003,pulses total,7719
2003,barley,1305483.28
2003,oilseeds total,31224
2003,brinjal,534447
2003,drum stick,23101
2003,varagu,5342
2003,yam,0
2003,cardamom,14079
2003,urad,1430482.9
2003,other kharif pulses,483078
2003,lab-lab,0
2003,cotton(lint),13625145
2003,horse-gram,209249.5
2003,peas & beans (pulses),650239
2003,sannhamp,28396.1
2003,masoor,805034.08
2003,arecanut,427651
2003,pineapple,510517
2003,bottle gourd,468
2003,other cereals & millets,88032
2003,tobacco,575245.2
2003,samai,9552
2003,mango,3100202
2003,dry chillies,1170314
2003,citrus fruit,496573
2003,snak guard,0
2003,redish,1877
2003,tapioca,5925673
2003,banana,10951296
2003,other dry fruit,0
2003,coconut,7355742937
2003,onion,5673147.87
2003,peas  (vegetable),0
2003,guar seed,253499
2003,carrot,1981
2003,pome granet,0
2003,castor seed,792762
2003,moth,819826
2003,other oilseeds,332492.81
2003,jack fruit,27791
2003,pear,0
2003,bitter gourd,273
2003,small millets,424546
2003,plums,0
2003,sesamum,765167.1
2003,safflower,138653
2003,sunflower,921251
2003,niger seed,108619
2003,linseed,169275.1
2003,other misc. pulses,6672.22
2003,other fibres,0
2003,ragi,1889760.93
2003,peach,0
2003,other citrus fruit,0
2003,korra,19409
2003,litchi,0
2003,moong(green gram),1661957.8
2003,khesari,442358
2003,papaya,649121
2003,pump kin,0
2003,other vegetables,363782
2003,black pepper,96553.23
2003,other fresh fruits,161771
2003,ash gourd,0
2003,other  rabi pulses,475402
2003,cauliflower,9658
2003,cashewnut,151565.64
2003,soyabean,7788019
2003,cabbage,96107
2003,apple,0
2004,bajra,8.17
2004,cereals,198.69
2004,coffee,0.3
2004,cotton,16.53
2004,foodgrains,211.37
2004,gram,4.71
2004,groundnut,7.6
2004,jowar,7.67
2004,jute,9.69
2004,jute and mesta,10.8
2004,kharif,6.43
2004,maize,15
2004,mesta,1.11
2004,oilseeds,23.29
2004,plantation crops,0.6
2004,potato,25.07
2004,pulses,12.63
2004,rabi,101.17
2004,rapeseed and mustard,4.89
2004,rice,90.01
2004,rubber,0.69
2004,sugarcane,318.37
2004,tea,0.89
2004,tur,2.59
2004,wheat,73.51
2004,turmeric,670866
2004,sweet potato,893392
2004,coriander,254041
2004,garlic,628184
2004,arhar/tur,1851226.11
2004,rapeseed &mustard,7248484.29
2004,dry ginger,385722
2004,barley,1178066.24
2004,oilseeds total,26281
2004,cardamom,14545.7
2004,urad,1042723.1
2004,other kharif pulses,232397.18
2004,cotton(lint),16981640
2004,horse-gram,233906.4
2004,peas & beans (pulses),84797
2004,sannhamp,27242
2004,masoor,496420.93
2004,arecanut,340328.05
2004,other cereals & millets,151476
2004,tobacco,522029
2004,dry chillies,1117853
2004,tapioca,7140169
2004,banana,7781869.52
2004,coconut,7663983742
2004,onion,4503913.14
2004,guar seed,516935
2004,castor seed,809912
2004,moth,208978
2004,other oilseeds,7460.61
2004,small millets,330289
2004,sesamum,683488.3
2004,safflower,181668
2004,sunflower,1302156
2004,niger seed,113961
2004,linseed,152436
2004,ragi,2290290.27
2004,moong(green gram),1010318.2
2004,khesari,288213
2004,black pepper,103300.22
2004,other  rabi pulses,166259
2004,cashewnut,165301
2004,soyabean,6855709
2005,bajra,8.63
2005,cereals,203.01
2005,coffee,0.3
2005,cotton,18.87
2005,foodgrains,216.23
2005,gram,4.99
2005,groundnut,8
2005,jowar,7.73
2005,jute,9.81
2005,jute and mesta,10.9
2005,kharif,6.57
2005,maize,16
2005,mesta,1.09
2005,oilseeds,24.91
2005,plantation crops,0.7
2005,potato,25.93
2005,pulses,13.17
2005,rabi,103.33
2005,rapeseed and mustard,5.11
2005,rice,91.69
2005,rubber,0.71
2005,sugarcane,325.83
2005,tea,0.91
2005,tur,2.71
2005,wheat,74.79
2005,turmeric,760006.1
2005,sweet potato,499557.35
2005,coriander,169721
2005,garlic,464031
2005,arhar/tur,2092594.83
2005,rapeseed &mustard,7897672.09
2005,dry ginger,513899.1
2005,barley,1187286.7
2005,oilseeds total,23695
2005,cardamom,15689
2005,urad,990762.8
2005,other kharif pulses,157547.4
2005,cotton(lint),18398011.5
2005,horse-gram,239421.5
2005,peas & beans (pulses),260109.3
2005,sannhamp,26045.8
2005,masoor,513362.18
2005,arecanut,1277781.46
2005,other cereals & millets,111556.5
2005,tobacco,535268.3
2005,dry chillies,810768.7
2005,tapioca,7595507
2005,banana,9758007.13
2005,coconut,7453186213
2005,onion,5598277.99
2005,guar seed,721007
2005,castor seed,950136
2005,moth,178421
2005,other oilseeds,857.8
2005,small millets,230849
2005,sesamum,668258.2
2005,safflower,230512
2005,sunflower,1293141
2005,niger seed,76003
2005,linseed,147314
2005,ragi,2280553.68
2005,moong(green gram),955217.1
2005,khesari,317439
2005,black pepper,123237.05
2005,other  rabi pulses,107402
2005,cashewnut,180156.02
2005,soyabean,8561588
2006,bajra,9.09
2006,cereals,207.34
2006,coffee,0.3
2006,cotton,21.21
2006,foodgrains,221.09
2006,gram,5.26
2006,groundnut,8.4
2006,jowar,7.79
2006,jute,9.94
2006,jute and mesta,11
2006,kharif,6.71
2006,maize,17
2006,mesta,1.06
2006,oilseeds,26.54
2006,plantation crops,0.8
2006,potato,26.79
2006,pulses,13.71
2006,rabi,105.49
2006,rapeseed and mustard,5.34
2006,rice,93.36
2006,rubber,0.74
2006,sugarcane,333.29
2006,tea,0.94
2006,tur,2.84
2006,wheat,76.06
2006,turmeric,690063.03
2006,sweet potato,409169
2006,coriander,229163
2006,garlic,658872
2006,arhar/tur,2148340
2006,rapeseed &mustard,7089548.1
2006,dry ginger,480029
2006,barley,1250921
2006,oilseeds total,29265
2006,cardamom,16844
2006,urad,1133794.2
2006,other kharif pulses,522983
2006,cotton(lint),20897537
2006,horse-gram,228002
2006,peas & beans (pulses),200462
2006,sannhamp,25222
2006,masoor,911178
2006,arecanut,530376.3
2006,other cereals & millets,75044
2006,tobacco,482236
2006,dry chillies,1111426
2006,tapioca,8420099
2006,banana,11400440
2006,coconut,8092567153
2006,onion,4204644
2006,guar seed,759852
2006,castor seed,809107
2006,moth,208116
2006,other oilseeds,7700.38
2006,small millets,393499
2006,sesamum,678426.9
2006,safflower,240289
2006,sunflower,1049415
2006,niger seed,70394
2006,linseed,142043
2006,ragi,1298021.2
2006,moong(green gram),1071155.9
2006,khesari,372464
2006,black pepper,95978
2006,other  rabi pulses,483898
2006,cashewnut,175471.13
2006,soyabean,8817875
2007,bajra,9.54
2007,cereals,211.67
2007,coffee,0.3
2007,cotton,23.56
2007,foodgrains,225.94
2007,gram,5.53
2007,groundnut,8.8
2007,jowar,7.84
2007,jute,10.07
2007,jute and mesta,11.1
2007,kharif,6.86
2007,maize,18
2007,mesta,1.03
2007,oilseeds,28.17
2007,plantation crops,0.9
2007,potato,27.64
2007,pulses,14.26
2007,rabi,107.64
2007,rapeseed and mustard,5.57
2007,rice,95.03
2007,rubber,0.77
2007,sugarcane,340.74
2007,tea,0.97
2007,tur,2.97
2007,wheat,77.33
2007,turmeric,314503.3
2007,sweet potato,413444
2007,coriander,226108.1
2007,garlic,811373.7
2007,arhar/tur,1766010
2007,rapeseed &mustard,5539941.91
2007,dry ginger,607493.7
2007,barley,1202108
2007,oilseeds total,28568
2007,cardamom,14614
2007,urad,1123509
2007,other kharif pulses,208561.2
2007,cotton(lint),17303674
2007,horse-gram,219250.5
2007,peas & beans (pulses),171725.7
2007,sannhamp,40884.49
2007,masoor,808140.28
2007,arecanut,1318525
2007,other cereals & millets,169400.1
2007,tobacco,493381
2007,dry chillies,1135857.5
2007,tapioca,8514920
2007,banana,10245666
2007,coconut,6299914140
2007,onion,5679256.3
2007,guar seed,1376231
2007,castor seed,1049692.7
2007,moth,424480
2007,other oilseeds,11607.2
2007,small millets,242510
2007,sesamum,758778.7
2007,safflower,63423
2007,sunflower,1099627
2007,niger seed,56359
2007,linseed,109387.6
2007,ragi,1908869.1
2007,moong(green gram),1133631.2
2007,khesari,693088
2007,black pepper,101610
2007,other  rabi pulses,362581.2
2007,cashewnut,132249
2007,soyabean,6697563
2008,bajra,10
2008,cereals,216
2008,coffee,0.3
2008,cotton,25.9
2008,foodgrains,230.8
2008,gram,5.8
2008,groundnut,9.2
2008,jowar,7.9
2008,jute,10.2
2008,jute and mesta,11.2
2008,kharif,7
2008,maize,19
2008,mesta,1
2008,oilseeds,29.8
2008,plantation crops,1
2008,potato,28.5
2008,pulses,14.8
2008,rabi,109.8
2008,rapeseed and mustard,5.8
2008,rice,96.7
2008,rubber,0.8
2008,sugarcane,348.2
2008,tea,1
2008,tur,3.1
2008,wheat,78.6
2008,turmeric,720555
2008,sweet potato,421525
2008,coriander,371014
2008,garlic,762714
2008,arhar/tur,2069185.1
2008,rapeseed &mustard,6915809.7
2008,dry ginger,1167448
2008,barley,1675558.2
2008,oilseeds total,31016
2008,cardamom,15411
2008,urad,1148111.6
2008,other kharif pulses,203462
2008,cotton(lint),20788862
2008,horse-gram,179014.8
2008,peas & beans (pulses),635798.3
2008,sannhamp,35224.67
2008,masoor,943071
2008,arecanut,1414831
2008,other cereals & millets,138030
2008,tobacco,604050
2008,dry chillies,1125133
2008,tapioca,7545692
2008,banana,11217747
2008,coconut,7039787884
2008,onion,4537447.5
2008,guar seed,1316055
2008,castor seed,1158582
2008,moth,340415
2008,other oilseeds,39958.7
2008,small millets,251820
2008,sesamum,643872.7
2008,safflower,173503
2008,sunflower,1002222
2008,niger seed,67921
2008,linseed,124340.1
2008,blackgram,23058
2008,ragi,1849357.2
2008,moong(green gram),1008996.1
2008,khesari,347848
2008,black pepper,117193
2008,other  rabi pulses,49675.4
2008,cashewnut,179150.22
2008,soyabean,8991049
2009,bajra,8.9
2009,cereals,219.9
2009,coffee,0.3
2009,cotton,22.3
2009,foodgrains,234.4
2009,gram,7.1
2009,groundnut,7.2
2009,jowar,7.2
2009,jute,9.6
2009,jute and mesta,10.3
2009,kharif,8
2009,maize,19.7
2009,mesta,0.7
2009,oilseeds,27.7
2009,plantation crops,7.2
2009,potato,34.39
2009,pulses,14.6
2009,rabi,116.3
2009,rapeseed and mustard,7.2
2009,rice,99.2
2009,rubber,0.9
2009,sugarcane,285
2009,tea,1
2009,tur,2.3
2009,wheat,80.7
2009,turmeric,652462
2009,cowpea(lobia),2760
2009,sweet potato,356673
2009,coriander,394843
2009,garlic,629963
2009,arhar/tur,2236259
2009,rapeseed &mustard,5548768.4
2009,dry ginger,1718807
2009,barley,1314528
2009,oilseeds total,215842
2009,cardamom,14500
2009,urad,1189153.9
2009,other kharif pulses,143203
2009,cotton(lint),20906813
2009,horse-gram,234384.4
2009,peas & beans (pulses),567817
2009,sannhamp,20048
2009,masoor,1010961
2009,arecanut,1459541
2009,other cereals & millets,40994
2009,tobacco,840015
2009,dry chillies,1064823
2009,tapioca,6841154
2009,banana,12053257
2009,coconut,7041992679
2009,onion,4339927
2009,guar seed,248842
2009,castor seed,1005785
2009,moth,52125
2009,other oilseeds,39609
2009,small millets,268468
2009,sesamum,648449.7
2009,safflower,167823
2009,sunflower,722302
2009,niger seed,58689
2009,linseed,131690
2009,ragi,1739951.9
2009,moong(green gram),655387.8
2009,khesari,334635
2009,black pepper,124029
2009,other  rabi pulses,62119
2009,cashewnut,176225
2009,soyabean,9872759
2010,bajra,9.65
2010,cereals,223.1
2010,coffee,0.3
2010,cotton,27.65
2010,foodgrains,239.45
2010,gram,7.65
2010,groundnut,7.75
2010,jowar,7.1
2010,jute,9.8
2010,jute and mesta,10.45
2010,kharif,9
2010,maize,20.7
2010,mesta,0.65
2010,oilseeds,30.1
2010,plantation crops,7.7
2010,potato,38.34
2010,pulses,16.4
2010,rabi,119.95
2010,rapeseed and mustard,7.7
2010,rice,97.6
2010,rubber,0.85
2010,sugarcane,313.7
2010,tea,1
2010,tur,2.6
2010,wheat,83.8
2010,turmeric,577592.39
2010,cowpea(lobia),45665
2010,sweet potato,308165
2010,coriander,308744
2010,garlic,560492
2010,arhar/tur,2720850.6
2010,rapeseed &mustard,7526548.68
2010,dry ginger,481720.36
2010,ginger,38669
2010,barley,1697008
2010,oilseeds total,29251
2010,cardamom,3737
2010,urad,1685884.8
2010,other kharif pulses,189949
2010,cotton(lint),27323907
2010,horse-gram,237954.8
2010,peas & beans (pulses),587439
2010,sannhamp,27816
2010,masoor,905009
2010,arecanut,2479449.51
2010,other cereals & millets,123996
2010,tobacco,871239
2010,mango,2660
2010,dry chillies,963246
2010,tapioca,2590854.66
2010,banana,7454352.4
2010,coconut,5596200360
2010,onion,5497912
2010,guar seed,1632377
2010,castor seed,1379717
2010,moth,790964
2010,other oilseeds,525474
2010,small millets,221292
2010,sesamum,906705.3
2010,safflower,153114
2010,sunflower,563180.4
2010,niger seed,60705
2010,linseed,105559
2010,ragi,2089314.8
2010,moong(green gram),1806643.7
2010,khesari,357783
2010,black pepper,63163.57
2010,other  rabi pulses,54913
2010,cashewnut,130696.53
2010,soyabean,12317901
2011,bajra,10.4
2011,cereals,226.3
2011,coffee,0.3
2011,cotton,33
2011,foodgrains,244.5
2011,gram,8.2
2011,groundnut,8.3
2011,jowar,7
2011,jute,10
2011,jute and mesta,10.6
2011,kharif,10
2011,maize,21.7
2011,mesta,0.6
2011,oilseeds,32.5
2011,plantation crops,8.2
2011,potato,42.3
2011,pulses,18.2
2011,rabi,123.6
2011,rapeseed and mustard,8.2
2011,rice,96
2011,rubber,0.8
2011,sugarcane,342.4
2011,tea,1
2011,tur,2.9
2011,wheat,86.9
2011,turmeric,1062119.54
2011,cowpea(lobia),57373
2011,sweet potato,364036
2011,coriander,90585
2011,garlic,792729
2011,arhar/tur,2453018
2011,rapeseed &mustard,3372161.2
2011,dry ginger,288779.36
2011,orange,172501
2011,ginger,170999
2011,barley,783746
2011,oilseeds total,33000
2011,brinjal,694
2011,cardamom,5615
2011,urad,1612150.4
2011,other kharif pulses,150278
2011,paddy,4715678
2011,cotton(lint),27372085
2011,horse-gram,194520.3
2011,peas & beans (pulses),707629
2011,sannhamp,18606
2011,masoor,977102
2011,arecanut,1971051.34
2011,pineapple,223624
2011,other cereals & millets,64241
2011,tobacco,827742
2011,mango,401
2011,dry chillies,1073377
2011,tapioca,6748804.64
2011,banana,12651643.59
2011,coconut,13594222296
2011,onion,6067070
2011,guar seed,119424
2011,castor seed,1882086
2011,moth,27676
2011,other oilseeds,1094233
2011,small millets,314555
2011,sesamum,652117.05
2011,safflower,114140
2011,sunflower,421104
2011,niger seed,61081.9
2011,linseed,116664
2011,blackgram,450
2011,ragi,1782304.1
2011,moong(green gram),1017184.4
2011,khesari,365993
2011,papaya,145451
2011,black pepper,52388.34
2011,other  rabi pulses,99106
2011,cashewnut,167522.69
2011,soyabean,11052184
2012,bajra,10.1
2012,cereals,240.2
2012,coffee,0.3
2012,cotton,35.2
2012,foodgrains,257.4
2012,gram,7.6
2012,groundnut,6.9
2012,jowar,6
2012,jute,10.9
2012,jute and mesta,11.6
2012,kharif,11
2012,maize,21.6
2012,mesta,0.7
2012,oilseeds,30
2012,plantation crops,0.3
2012,potato,46.6
2012,pulses,17.2
2012,rabi,127.5
2012,rapeseed and mustard,6.8
2012,rice,104.3
2012,rubber,0.8
2012,sugarcane,357.7
2012,tea,1
2012,tur,2.7
2012,wheat,93.9
2012,turmeric,295269
2012,cowpea(lobia),39993
2012,sweet potato,379091
2012,coriander,95776
2012,garlic,648458
2012,arhar/tur,2625573
2012,rapeseed &mustard,4030172.7
2012,dry ginger,694162
2012,orange,179637
2012,ginger,187444
2012,tomato,625411
2012,sapota,121345
2012,grapes,8188
2012,barley,824227
2012,oilseeds total,31285
2012,brinjal,189196
2012,drum stick,14877
2012,cardamom,13258
2012,urad,1556478.6
